Episode,Difficulty,DifficultyName,Reward,WindowAvg
179,1,EASY,0.5239,0.5238
180,1,EASY,0.5535,0.5234
181,1,EASY,0.6722,0.5259
182,1,EASY,0.4768,0.5275
183,1,EASY,0.5774,0.5278
184,1,EASY,0.4559,0.5274
185,1,EASY,0.5264,0.528
186,1,EASY,0.472,0.528
187,1,EASY,0.4593,0.5261
188,1,EASY,0.5331,0.5262
189,1,EASY,0.4879,0.5245
190,1,EASY,0.561,0.5245
191,1,EASY,0.5501,0.5263
192,1,EASY,0.5541,0.5268
193,1,EASY,0.4719,0.53
194,1,EASY,0.5433,0.5308
195,1,EASY,0.5263,0.5299
196,1,EASY,0.4271,0.5261
197,1,EASY,0.4798,0.5278
198,1,EASY,0.6171,0.529
199,1,EASY,0.4273,0.5286
200,1,EASY,0.6281,0.5339
201,1,EASY,0.4995,0.5324
202,1,EASY,0.4888,0.5334
203,1,EASY,0.5546,0.5337
204,1,EASY,0.4956,0.5351
205,1,EASY,0.5048,0.5341
206,1,EASY,0.4057,0.5314
207,1,EASY,0.6182,0.5325
208,1,EASY,0.5422,0.5323
209,1,EASY,0.5425,0.533
210,1,EASY,0.3924,0.5328
211,1,EASY,0.4757,0.5309
212,1,EASY,0.5589,0.529
213,1,EASY,0.5537,0.5305
214,1,EASY,0.3958,0.5277
215,1,EASY,0.5517,0.5292
216,1,EASY,0.5382,0.5287
217,1,EASY,0.4995,0.5278
218,1,EASY,0.3935,0.5231
219,1,EASY,0.6232,0.5258
220,1,EASY,0.4739,0.5228
221,1,EASY,0.5297,0.521
222,1,EASY,0.554,0.5209
223,1,EASY,0.3748,0.5159
224,1,EASY,0.4574,0.5144
225,1,EASY,0.5392,0.514
226,1,EASY,0.372,0.5108
227,1,EASY,0.5594,0.5119
228,1,EASY,0.542,0.5112
229,1,EASY,0.5536,0.5118
230,1,EASY,0.4142,0.509
231,1,EASY,0.5425,0.5064
232,1,EASY,0.5696,0.5083
233,1,EASY,0.5568,0.5079
234,1,EASY,0.5437,0.5096
235,1,EASY,0.3794,0.5067
236,1,EASY,0.4524,0.5063
237,1,EASY,0.476,0.5066
238,1,EASY,0.5578,0.5071
239,1,EASY,0.5473,0.5083
240,1,EASY,0.3946,0.505
241,1,EASY,0.4984,0.504
242,1,EASY,0.4671,0.5022
243,1,EASY,0.5483,0.5038
244,1,EASY,0.4127,0.5011
245,1,EASY,0.5504,0.5016
246,1,EASY,0.5713,0.5045
247,1,EASY,0.5472,0.5059
248,1,EASY,0.3862,0.5012
249,1,EASY,0.3851,0.5004
250,1,EASY,0.5528,0.4989
251,1,EASY,0.5386,0.4997
252,1,EASY,0.6226,0.5023
